1;Masque nourrissant pour cheveux secs;Un masque nourrissant pour revitaliser et hydrater les cheveux secs;Cheveux;4.2;Facile;nourrissant, cheveux secs, hydratation;2023-05-29;12.99;images/masque_cheveux.jpg;avocat\1\yaourt\2\huile_d'olive\1_cuillère_à_soupe
2;Gommage corps au café;Un gommage corporel au café pour exfolier en douceur et stimuler la circulation;Corps;4.7;Moyen;gommage, corps, café, exfoliation;2023-05-28;9.99;images/gommage_corps.jpg;café_moulu\3_cuillères_à_soupe;huile_de_coco\2_cuillères_à_soupe;sucre_de_canne\4_cuillères_à_soupe
3;Baume à lèvres hydratant;Un baume à lèvres hydratant pour des lèvres douces et protégées;Visage;4.4;Facile;baume à lèvres, hydratation, lèvres;2023-05-27;6.99;images/baume_levres.jpg;cire_d'abeille\1_cuillère_à_soupe;huile_de_coco\1_cuillère_à_soupe;beurre_de_karité\1_cuillère_à_soupe
4;Masque purifiant à l'argile;Un masque purifiant à l'argile pour éliminer les impuretés et resserrer les pores;Visage;4.6;Difficile;masque, purifiant, argile;2023-05-26;14.99;images/masque_argile.jpg;argile_verte\2_cuillères_à_soupe;eau_minérale\quantité_suffisante
5;Crème pour les mains nourrissante;Une crème pour les mains nourrissante pour une peau douce et hydratée;Corps;4.3;Moyen;crème pour les mains, nourrissante, hydratation;2023-05-25;11.99;images/creme_mains.jpg;beurre_de_karité\20g;huile_d'amande_douce\15ml;cire_d'abeille\10g
6;Shampooing doux pour tous types de cheveux;Un shampooing doux adapté à tous les types de cheveux pour les nettoyer en profondeur;Cheveux;4.5;Facile;shampooing, doux, tous types de cheveux;2023-05-24;8.99;images/shampooing_cheveux.jpg;base_lavante_douce\100ml;huile_d'amande_douce\10ml;huile_essentielle_de_lavande\10_gouttes
7;Masque apaisant pour le visage;Un masque apaisant pour le visage pour calmer les irritations et réduire les rougeurs;Visage;4.2;Facile;masque, apaisant, visage;2023-05-23;9.99;images/masque_apaisant.jpg;concombre\1;yaourt_nature\2_cuillères_à_soupe;miel\1_cuillère_à_soupe
8;Lotion tonique rafraîchissante;Une lotion tonique rafraîchissante pour équilibrer le pH de la peau et la revitaliser;Visage;4.7;Moyen;lotion tonique, rafraîchissante, pH;2023-05-22;12.99;images/lotion_tonique.jpg;eau_de_rose\50ml;eau_minérale\50ml;hamamélis\50ml
9;Baume pour les cuticules;Un baume nourrissant pour les cuticules pour des ongles en bonne santé;Visage;4.4;Facile;baume, cuticules, ongles;2023-05-21;7.99;images/baume_cuticules.jpg;huile_d'olive\1_cuillère_à_soupe;beurre_de_karité\1_cuillère_à_soupe;huile_essentielle_de_citron\5_gouttes
10;Savon exfoliant à la lavande;Un savon exfoliant à la lavande pour une peau douce et parfumée;Corps;4.6;Difficile;savon, exfoliant, lavande;2023-05-20;15.99;images/savon_exfoliant.jpg;base_de_savon\100g;flocons_d'avoine\1_cuillère_à_soupe;huile_essentielle_de_lavande\10_gouttes
11;Masque réparateur pour cheveux abîmés;Un masque réparateur pour nourrir et réparer les cheveux abîmés;Cheveux;4.3;Moyen;masque, réparateur, cheveux abîmés;2023-05-19;11.99;images/masque_reparateur_cheveux.jpg;banane\1;huile_d'argan\1_cuillère_à_soupe;miel\2_cuillères_à_soupe
